,LINK_ID,Source,Target,MAX_SPD
396,1500037600,1500008700,1500005400,60.0
397,1500037700,1500005400,1500008700,60.0
398,1500037800,1500004600,1500008700,60.0
399,1500037900,1500008000,1500008400,30.0
400,1540099100,1540020400,1540021000,60.0
401,1520027300,1520006200,1520008600,70.0
402,1520027400,1520005800,1520008600,60.0
403,1520027500,1520008600,1520006200,70.0
404,1520027600,1520008600,1520005800,60.0
405,1500025500,1500008800,1500005500,30.0
406,1500025600,1500008800,1500005300,30.0
407,1510043900,1510003100,1510017500,100.0
408,1510044200,1510017500,1510003100,100.0
409,1510045200,1510017200,1510003200,70.0
410,1510045300,1510003200,1510017200,70.0
411,1510051900,1510018500,1510018700,100.0
412,1510052000,1510018500,1510018100,100.0
413,1540099500,1540004600,1540032900,60.0
414,1540099600,1540033400,1540004600,60.0
415,1540099700,1540004400,1540033200,50.0
416,1540099800,1540032900,1540004600,60.0
417,1510053000,1510018100,1510018500,100.0
418,1510053100,1510018700,1510018500,100.0
419,1550060300,1550018000,1550017700,30.0
420,1550060400,1550019200,1550019100,40.0
421,1550060500,1550019100,1550019200,40.0
422,1510060100,1510016900,1550020100,30.0
423,1510060200,1550020100,1510016900,30.0
424,1510047800,1510019300,1510019400,60.0
425,1510047900,1510019400,1510019300,60.0
426,1530025500,1530003600,1530007900,60.0
427,1530025600,1530007900,1530003600,60.0
428,1530025700,1530000300,1530007900,40.0
429,1510048100,1510017300,1510016800,40.0
430,1550060800,1550020300,1550012500,40.0
431,1550060900,1550012500,1550020300,40.0
432,1560085000,1560027600,1560016700,50.0
433,1560085100,1560016700,1560027600,50.0
434,1550061000,1550019700,1550020000,30.0
435,1550061100,1550020000,1550019700,30.0
436,1550061200,1550019700,1550001500,30.0
437,1510048200,1510015300,1510015100,60.0
438,1520028100,1520005200,1520008100,60.0
439,1520028200,1520008100,1520008300,40.0
440,1530026100,1530007500,1530001600,30.0
441,1530026200,1530001600,1530007500,30.0
442,1510048900,1510017300,1550020800,50.0
443,1510049000,1510016800,1510009800,80.0
444,1510049100,1510009800,1510016800,80.0
445,1540100900,1540022700,1540033500,30.0
446,1540101000,1540033500,1540022900,30.0
447,1540101100,1540022900,1540033500,30.0
448,1540101200,1540033500,1540022700,30.0
449,1510055300,1510019800,1510020000,60.0
450,1510055400,1510020000,1510014100,60.0
451,1510055500,1510014100,1510020000,60.0
452,1510055600,1510020000,1510019800,60.0
453,1540101300,1540007200,1540035900,70.0
454,1540101400,1540035900,1540036000,70.0
455,1540101500,1540036000,1540035900,70.0
456,1540095800,1540034000,1540024500,40.0
457,1540095900,1540021100,1540032900,60.0
458,1510055900,1510019200,1510019000,70.0
459,1510056000,1510019000,1510013100,70.0
460,1510056100,1510013100,1510019000,70.0
461,1510056200,1510019000,1510019200,70.0
462,1510056700,1510013400,1510019300,70.0
463,1510056800,1510019300,1510013200,70.0
464,1510056900,1510013200,1510019300,70.0
465,1510057000,1510019300,1510013400,70.0
466,1510057100,1510013700,1510019400,60.0
467,1510057200,1510019400,1510013200,60.0
468,1510057300,1510013200,1510019400,60.0
469,1510057400,1510019400,1510013700,60.0
470,1540096000,1540022100,1540033100,60.0
471,1510057500,1510015800,1510015600,70.0
472,1510057600,1510000700,1510016100,70.0
473,1510057700,1510016100,1510000800,70.0
474,1510057800,1510000800,1510016100,70.0
475,1510057900,1510016100,1510000700,70.0
476,1550061700,1550005700,1550018900,50.0
477,1550061800,1550018900,1550006700,50.0
478,1510051100,1510000701,1510015500,70.0
479,1510051200,1510015500,1510000200,70.0
480,1510051300,1510000701,1510015600,70.0
481,1510051400,1510015600,1510000701,70.0
482,1510051500,1510015600,1510015800,70.0
483,1510051600,1510015800,1510000700,70.0
484,1510051700,1510000700,1510015800,70.0
485,1510058800,1510017100,1510017400,40.0
486,1510058900,1510017400,1510017100,40.0
487,1510059000,1510017400,1510011600,40.0
488,1510059100,1510017400,1510011200,40.0
489,1510059200,1510011200,1510017400,40.0
490,1550063500,1550020300,1550020400,30.0
491,1510061900,1510015400,1510015200,30.0
492,1510062000,1510015200,1510015400,30.0
493,1510062100,1510015200,1510005500,60.0
494,1510062200,1510015200,1510005800,60.0
495,1510062300,1510005800,1510015200,60.0
496,1510062400,1510005500,1510015200,60.0
497,1570032600,1570010500,1570013800,60.0
498,1560085800,1560010400,1560026400,40.0
499,1560085900,1560008800,1560026400,40.0
